PLZ_ID,pdb_id,structure_source,structure_method,resolution,source_file_path
efbb5e2435,4B2N,RCSB_PDB,X-RAY DIFFRACTION,1.8 Å,pdb/4B2N.pdb
b73db43ed5,5O1L,RCSB_PDB,X-RAY DIFFRACTION,1.48 Å,pdb/5O1L.pdb
c58f3ad242,3AXG,RCSB_PDB,X-RAY DIFFRACTION,2.0 Å,pdb/3AXG.pdb
f9e5478243,2ZLY,RCSB_PDB,X-RAY DIFFRACTION,1.58 Å,pdb/2ZLY.pdb
c3284e015c,5XYO,RCSB_PDB,X-RAY DIFFRACTION,2.0 Å,pdb/5XYO.pdb
8590497fdb,3AXG,RCSB_PDB,X-RAY DIFFRACTION,2.0 Å,pdb/3AXG.pdb
a0954edf8c,3A2P,RCSB_PDB,X-RAY DIFFRACTION,1.9 Å,pdb/3A2P.pdb
a0954edf8c,3A2Q,RCSB_PDB,X-RAY DIFFRACTION,1.8 Å,pdb/3A2Q.pdb
ebb1e4fd55,5AH1,RCSB_PDB,X-RAY DIFFRACTION,1.2 Å,pdb/5AH1.pdb
163307ae0e,5LUI,RCSB_PDB,X-RAY DIFFRACTION,1.5 Å,pdb/5LUI.pdb
da71e6ad8a,7VPA,RCSB_PDB,X-RAY DIFFRACTION,2.35 Å,pdb/7VPA.pdb
563b0fac8b,7VMD,RCSB_PDB,X-RAY DIFFRACTION,1.69 Å,pdb/7VMD.pdb
2100ce8ee6,3VIS,RCSB_PDB,X-RAY DIFFRACTION,1.76 Å,pdb/3VIS.pdb
341379cf7a,4OYY,RCSB_PDB,X-RAY DIFFRACTION,3.0 Å,pdb/4OYY.pdb
341379cf7a,4OYL,RCSB_PDB,X-RAY DIFFRACTION,2.05 Å,pdb/4OYL.pdb
cafcfe03da,8C65,RCSB_PDB,X-RAY DIFFRACTION,1.491 Å,pdb/8C65.pdb
0ea7e098ff,7CC4,RCSB_PDB,X-RAY DIFFRACTION,2.0 Å,pdb/7CC4.pdb
866554aa77,7QJQ,RCSB_PDB,X-RAY DIFFRACTION,1.64 Å,pdb/7QJQ.pdb
3802c03734,7QJT,RCSB_PDB,X-RAY DIFFRACTION,1.78 Å,pdb/7QJT.pdb
75d1d6dced,4CG1,RCSB_PDB,X-RAY DIFFRACTION,1.4 Å,pdb/4CG1.pdb
906ec17d8c,4CG1,RCSB_PDB,X-RAY DIFFRACTION,1.4 Å,pdb/4CG1.pdb
6705dda016,2FX5,RCSB_PDB,X-RAY DIFFRACTION,1.8 Å,pdb/2FX5.pdb
6705dda016,2FX5,RCSB_PDB,X-RAY DIFFRACTION,1.8 Å,pdb/2FX5.pdb
6409ea9daa,4CG1,RCSB_PDB,X-RAY DIFFRACTION,1.4 Å,pdb/4CG1.pdb
f36e94e4cd,8A2C,RCSB_PDB,X-RAY DIFFRACTION,1.6 Å,pdb/8A2C.pdb
4a33bf07ab,7QJP,RCSB_PDB,X-RAY DIFFRACTION,1.561 Å,pdb/7QJP.pdb
84feca3a14,4CG1,RCSB_PDB,X-RAY DIFFRACTION,1.4 Å,pdb/4CG1.pdb
ce1110707a,5LUJ,RCSB_PDB,X-RAY DIFFRACTION,2.2 Å,pdb/5LUJ.pdb
0587836e7f,5LUI,RCSB_PDB,X-RAY DIFFRACTION,1.5 Å,pdb/5LUI.pdb
a07f81ab9e,7CWG,RCSB_PDB,X-RAY DIFFRACTION,2.8 Å,pdb/7CWG.pdb
9b005da363,4CG1,RCSB_PDB,X-RAY DIFFRACTION,1.4 Å,pdb/4CG1.pdb
9b005da363,5ZOA,RCSB_PDB,X-RAY DIFFRACTION,1.537 Å,pdb/5ZOA.pdb
57a9cf2b6e,7DZT,RCSB_PDB,X-RAY DIFFRACTION,2.35 Å,pdb/7DZT.pdb
00fab94b93,8SPK,RCSB_PDB,X-RAY DIFFRACTION,1.6 Å,pdb/8SPK.pdb
6e7f13c84a,7VPA,RCSB_PDB,X-RAY DIFFRACTION,2.35 Å,pdb/7VPA.pdb
3b0207ec4f,7VMD,RCSB_PDB,X-RAY DIFFRACTION,1.69 Å,pdb/7VMD.pdb
7165b2c2f3,5XFY,RCSB_PDB,X-RAY DIFFRACTION,1.4 Å,pdb/5XFY.pdb
fea5f92c2f,8C65,RCSB_PDB,X-RAY DIFFRACTION,1.491 Å,pdb/8C65.pdb
8fd8c71895,8B4U,RCSB_PDB,X-RAY DIFFRACTION,1.71 Å,pdb/8B4U.pdb
0a0da03236,8AIS,RCSB_PDB,X-RAY DIFFRACTION,1.56 Å,pdb/8AIS.pdb
4c0dc053e3,8AIT,RCSB_PDB,X-RAY DIFFRACTION,1.24 Å,pdb/8AIT.pdb
2cbb6fa0a4,1AGY,RCSB_PDB,X-RAY DIFFRACTION,1.15 Å,pdb/1AGY.pdb
ca79aac6d2,5AJH,RCSB_PDB,X-RAY DIFFRACTION,1.9 Å,pdb/5AJH.pdb
da03ff6a1f,1TCA,RCSB_PDB,X-RAY DIFFRACTION,1.55 Å,pdb/1TCA.pdb
bd7ef0ab46,8AIR,RCSB_PDB,X-RAY DIFFRACTION,1.08 Å,pdb/8AIR.pdb
59c3ac884c,7YM9,RCSB_PDB,X-RAY DIFFRACTION,1.34 Å,pdb/7YM9.pdb
59c3ac884c,7YME,RCSB_PDB,X-RAY DIFFRACTION,1.5 Å,pdb/7YME.pdb
ba1370eff7,7Z6B,RCSB_PDB,X-RAY DIFFRACTION,1.4 Å,pdb/7Z6B.pdb
fa0bd8f4c6,5XFY,RCSB_PDB,X-RAY DIFFRACTION,1.4 Å,pdb/5XFY.pdb
ba04d67a0c,6SBN,RCSB_PDB,X-RAY DIFFRACTION,1.09 Å,pdb/6SBN.pdb
