PLZ_ID,pdb_id,structure_source,structure_method,resolution,pdb_path
41cce49ced,2CZQ,RCSB_PDB,X-RAY DIFFRACTION,1.05 Å,pdb/2CZQ.pdb
bd7ef0ab46,8AIR,RCSB_PDB,X-RAY DIFFRACTION,1.08 Å,pdb/8AIR.pdb
ba04d67a0c,6SBN,RCSB_PDB,X-RAY DIFFRACTION,1.09 Å,pdb/6SBN.pdb
2cbb6fa0a4,1AGY,RCSB_PDB,X-RAY DIFFRACTION,1.15 Å,pdb/1AGY.pdb
42b95295f2,7YKO,RCSB_PDB,X-RAY DIFFRACTION,1.15 Å,pdb/7YKO.pdb
ee302712eb,7YKO,RCSB_PDB,X-RAY DIFFRACTION,1.15 Å,pdb/7YKO.pdb
ebb1e4fd55,5AH1,RCSB_PDB,X-RAY DIFFRACTION,1.2 Å,pdb/5AH1.pdb
360413121e,1CSE,RCSB_PDB,X-RAY DIFFRACTION,1.2 Å,pdb/1CSE.pdb
4c0dc053e3,8AIT,RCSB_PDB,X-RAY DIFFRACTION,1.24 Å,pdb/8AIT.pdb
222a0eb1a0,7EOA,RCSB_PDB,X-RAY DIFFRACTION,1.24 Å,pdb/7EOA.pdb
bec89b1c7b,7CY3,RCSB_PDB,X-RAY DIFFRACTION,1.27 Å,pdb/7CY3.pdb
91158a9f29,7NEI,RCSB_PDB,X-RAY DIFFRACTION,1.3 Å,pdb/7NEI.pdb
1673038e62,6AID,RCSB_PDB,X-RAY DIFFRACTION,1.3 Å,pdb/6AID.pdb
59c3ac884c,7YM9,RCSB_PDB,X-RAY DIFFRACTION,1.34 Å,pdb/7YM9.pdb
6409ea9daa,4CG1,RCSB_PDB,X-RAY DIFFRACTION,1.4 Å,pdb/4CG1.pdb
906ec17d8c,4CG1,RCSB_PDB,X-RAY DIFFRACTION,1.4 Å,pdb/4CG1.pdb
9b005da363,4CG1,RCSB_PDB,X-RAY DIFFRACTION,1.4 Å,pdb/4CG1.pdb
7165b2c2f3,5XFY,RCSB_PDB,X-RAY DIFFRACTION,1.4 Å,pdb/5XFY.pdb
ba1370eff7,7Z6B,RCSB_PDB,X-RAY DIFFRACTION,1.4 Å,pdb/7Z6B.pdb
fa0bd8f4c6,5XFY,RCSB_PDB,X-RAY DIFFRACTION,1.4 Å,pdb/5XFY.pdb
f6a0e986e5,4CG1,RCSB_PDB,X-RAY DIFFRACTION,1.4 Å,pdb/4CG1.pdb
75d1d6dced,4CG1,RCSB_PDB,X-RAY DIFFRACTION,1.4 Å,pdb/4CG1.pdb
84feca3a14,4CG1,RCSB_PDB,X-RAY DIFFRACTION,1.4 Å,pdb/4CG1.pdb
0e5551e3cc,4WFI,RCSB_PDB,X-RAY DIFFRACTION,1.446 Å,pdb/4WFI.pdb
b73db43ed5,5O1L,RCSB_PDB,X-RAY DIFFRACTION,1.48 Å,pdb/5O1L.pdb
fea5f92c2f,8C65,RCSB_PDB,X-RAY DIFFRACTION,1.491 Å,pdb/8C65.pdb
cafcfe03da,8C65,RCSB_PDB,X-RAY DIFFRACTION,1.491 Å,pdb/8C65.pdb
0587836e7f,5LUI,RCSB_PDB,X-RAY DIFFRACTION,1.5 Å,pdb/5LUI.pdb
e13a2b349b,4EB0,RCSB_PDB,X-RAY DIFFRACTION,1.50 Å,pdb/4EB0.pdb
63bef039bc,5LUI,RCSB_PDB,X-RAY DIFFRACTION,1.5 Å,pdb/5LUI.pdb
163307ae0e,5LUI,RCSB_PDB,X-RAY DIFFRACTION,1.5 Å,pdb/5LUI.pdb
cceac56d17,8C4X,RCSB_PDB,X-RAY DIFFRACTION,1.52 Å,pdb/8C4X.pdb
3ec22ba0a0,1TCA,RCSB_PDB,X-RAY DIFFRACTION,1.55 Å,pdb/1TCA.pdb
da03ff6a1f,1TCA,RCSB_PDB,X-RAY DIFFRACTION,1.55 Å,pdb/1TCA.pdb
0a0da03236,8AIS,RCSB_PDB,X-RAY DIFFRACTION,1.56 Å,pdb/8AIS.pdb
4a33bf07ab,7QJP,RCSB_PDB,X-RAY DIFFRACTION,1.561 Å,pdb/7QJP.pdb
f9e5478243,2ZLY,RCSB_PDB,X-RAY DIFFRACTION,1.58 Å,pdb/2ZLY.pdb
454f96425d,4BTV,RCSB_PDB,X-RAY DIFFRACTION,1.594 Å,pdb/4BTV.pdb
00fab94b93,8SPK,RCSB_PDB,X-RAY DIFFRACTION,1.6 Å,pdb/8SPK.pdb
1937e85c8a,3WL5,RCSB_PDB,X-RAY DIFFRACTION,1.6 Å,pdb/3WL5.pdb
f36e94e4cd,8A2C,RCSB_PDB,X-RAY DIFFRACTION,1.6 Å,pdb/8A2C.pdb
866554aa77,7QJQ,RCSB_PDB,X-RAY DIFFRACTION,1.64 Å,pdb/7QJQ.pdb
3251320be6,2D81,RCSB_PDB,X-RAY DIFFRACTION,1.66 Å,pdb/2D81.pdb
563b0fac8b,7VMD,RCSB_PDB,X-RAY DIFFRACTION,1.69 Å,pdb/7VMD.pdb
3b0207ec4f,7VMD,RCSB_PDB,X-RAY DIFFRACTION,1.69 Å,pdb/7VMD.pdb
996508e56e,2D80,RCSB_PDB,X-RAY DIFFRACTION,1.7 Å,pdb/2D80.pdb
8fd8c71895,8B4U,RCSB_PDB,X-RAY DIFFRACTION,1.71 Å,pdb/8B4U.pdb
2100ce8ee6,3VIS,RCSB_PDB,X-RAY DIFFRACTION,1.76 Å,pdb/3VIS.pdb
a92dae508e,3VIS,RCSB_PDB,X-RAY DIFFRACTION,1.76 Å,pdb/3VIS.pdb
3802c03734,7QJT,RCSB_PDB,X-RAY DIFFRACTION,1.78 Å,pdb/7QJT.pdb
efbb5e2435,4B2N,RCSB_PDB,X-RAY DIFFRACTION,1.8 Å,pdb/4B2N.pdb
a0954edf8c,3A2Q,RCSB_PDB,X-RAY DIFFRACTION,1.8 Å,pdb/3A2Q.pdb
6705dda016,2FX5,RCSB_PDB,X-RAY DIFFRACTION,1.8 Å,pdb/2FX5.pdb
28e0c597d2,7ECB,RCSB_PDB,X-RAY DIFFRACTION,1.83 Å,pdb/7ECB.pdb
ca79aac6d2,5AJH,RCSB_PDB,X-RAY DIFFRACTION,1.9 Å,pdb/5AJH.pdb
a74243e772,3WLA,RCSB_PDB,X-RAY DIFFRACTION,1.9 Å,pdb/3WLA.pdb
6c598a08cc,7QJO,RCSB_PDB,X-RAY DIFFRACTION,1.933 Å,pdb/7QJO.pdb
b976d89166,5D8M,RCSB_PDB,X-RAY DIFFRACTION,1.95 Å,pdb/5D8M.pdb
c58f3ad242,3AXG,RCSB_PDB,X-RAY DIFFRACTION,2.0 Å,pdb/3AXG.pdb
d6d22e6e3e,2PIA,RCSB_PDB,X-RAY DIFFRACTION,2.0 Å,pdb/2PIA.pdb
c3284e015c,5XYO,RCSB_PDB,X-RAY DIFFRACTION,2.0 Å,pdb/5XYO.pdb
8590497fdb,3AXG,RCSB_PDB,X-RAY DIFFRACTION,2.0 Å,pdb/3AXG.pdb
94e8157fc2,7CC4,RCSB_PDB,X-RAY DIFFRACTION,2.0 Å,pdb/7CC4.pdb
0ea7e098ff,7CC4,RCSB_PDB,X-RAY DIFFRACTION,2.0 Å,pdb/7CC4.pdb
03e0eb2320,4OYL,RCSB_PDB,X-RAY DIFFRACTION,2.05 Å,pdb/4OYL.pdb
341379cf7a,4OYL,RCSB_PDB,X-RAY DIFFRACTION,2.05 Å,pdb/4OYL.pdb
076eb0f3c5,1CRL,RCSB_PDB,X-RAY DIFFRACTION,2.06 Å,pdb/1CRL.pdb
cad79d6541,7PZJ,RCSB_PDB,X-RAY DIFFRACTION,2.1 Å,pdb/7PZJ.pdb
aef0b24815,7QJM,RCSB_PDB,X-RAY DIFFRACTION,2.19 Å,pdb/7QJM.pdb
0ceccec9cc,4PSU,RCSB_PDB,X-RAY DIFFRACTION,2.2 Å,pdb/4PSU.pdb
208d6ef2c0,5LUJ,RCSB_PDB,X-RAY DIFFRACTION,2.2 Å,pdb/5LUJ.pdb
