PLZ_ID	plastic
8b8a9c2713	DBP
27a0a068c4	DBP
3bead75b8a	ECOFLEX
1cd19076ea	ECOVIO-FT
364b49dd25	ECOVIO-FT
ce80606054	Impranil
5127b8c5b6	Impranil
987c086359	LDPE
cab3e6cde8	LDPE
4f0c72face	LDPE
32b02afed8	NR
e7e0d72213	NR
353219c259	NR
050122b362	NR
efbb5e2435	NR
dba64d2e40	NR
69ea5ce8b8	NR
50df1033a9	NR
b73db43ed5	NR
0cc454d28d	Nylon
afa63948eb	Nylon
5af3f587fe	Nylon
e1964e5a5d	Nylon
dbc5c61d5f	Nylon
e0399da3ba	Nylon
106d9e4d81	Nylon
c194aa00b4	Nylon
9ab96a1db7	Nylon
93be91f9a1	Nylon
9b35a39450	Nylon
1397aae055	Nylon
1904046ba6	Nylon
1117087cd5	Nylon
f965db625f	Nylon
e4f6de0abe	Nylon
396d03c737	Nylon
2914df2cc0	Nylon
f102aaa89c	Nylon
d319822194	Nylon
0239d98df2	Nylon
7faeae2415	Nylon
045e33ed3d	Nylon
d09df3ba56	Nylon
226884aeb2	Nylon
234cfb3d12	Nylon
536475e87e	Nylon
301c52db39	Nylon
fc9cc0d454	Nylon
1e8ffc5797	Nylon
6843931175	Nylon
a08ba14b47	Nylon
19ee1752f0	Nylon
c58f3ad242	Nylon
716fdeb7f8	Nylon
768280e845	Nylon
84b41eb7f6	Nylon
3da34a0603	Nylon
211e928371	Nylon
27615e838b	Nylon
1ba736e76f	Nylon
09ab0bfb61	Nylon
a8d0066f53	Nylon
bc3fe2d703	O-PVA
88cb4bb019	O-PVA
c73f94f4b1	P(3HB-co-3MP)
e78774c217	P3HP
bd3687d1b7	P3HP
9e179e83c2	P3HP
6f8dc0fb5f	P3HV
9713cad8f0	P4HB
7498c41ec9	P4HB
f4d0b7bd9c	P4HB
71cd2f0e52	PA
eca4b37668	PA
2d36827280	PA
313f9d5d34	PA
019a1f24b3	PA
2fa05e5e0f	PA
2185f8f693	PA
621a469c77	PA
b964cfaf0f	PA
cafe390833	PA
4f638232f3	PA
f9e5478243	PA
53bfcb920b	PA
ec1d3f292e	PA
f5350aa750	PA
33ae892bfe	PA
532558f571	PA
a3e7c71833	PA
699e12b98f	PA
b24c39fc34	PA
cddb40d13d	PA
8661331fe1	PA
47336267d0	PA
7117b90f6c	PA
09916db422	PA
a280d4719a	PA
b6abfd7c7d	PA
f489ba5d5f	PA
34148ffb89	PA
c3284e015c	PA
bc45236008	PA
3ad39da7bf	PA
bce4c0416e	PA
883968a5f1	PA
4aaf55ca59	PA
8005c8a008	PA
8590497fdb	PA
450efe225c	PA
0fd5249f70	PA
b757398e37	PA
81da6dd028	PA
fc08ba909b	PA
227b9de79f	PA
ba69c7f4e6	PA
e985f8deed	PA
c9267b3952	PA
228f428f29	PA
768dafba02	PA
5ef36e4786	PA
a0954edf8c	PA
4993d6ed2e	PA
623def0d9b	PBAT
ebb1e4fd55	PBAT
0b4ebae294	PBAT
c4595ca0c8	PBAT
61b29f9d92	PBAT
b0756a07ad	PBAT
163307ae0e	PBAT
fc882a67cd	PBAT
c06a44d002	PBAT
8710c2a5d0	PBAT
da71e6ad8a	PBAT
563b0fac8b	PBAT
9f7a29bf6f	PBAT
b1b24e5fad	PBAT
95e1ce1a66	PBAT
97b72f8814	PBAT
6a419c8f62	PBAT
82df2826e8	PBAT
bd90f1bdf5	PBAT
8c8f8ba791	PBAT
9eb906a621	PBAT
1e2abf662c	PBAT
d85320d410	PBAT
51c552720e	PBAT
0990ac8d07	PBAT
2100ce8ee6	PBAT
be2cfcc2d3	PBAT
f8cfde16a9	PBAT
341379cf7a	PBAT
fb4f510a80	PBS
cffe604915	PBS
9566dad8c5	PBS
1252430438	PBS
cafcfe03da	PBS
77d99f3697	PBS
20aad38b2c	PBS
1e607f3850	PBS
60304996a6	PBS
35c35a0ed2	PBS
64b5a2f509	PBS
cfad741778	PBS
0ea7e098ff	PBS
cfd1e91a88	PBS
13f5f68d39	PBS
17ee48919c	PBS
04e3bdd092	PBS
bbb0c59cb3	PBS-Blend
4263a98de1	PBSA
c5c17d4a5c	PBSA
53d11d8a47	PBSA
ec185b1375	PBSA
89caf80c44	PBSA
2143cfec2a	PBSA
091ba31d57	PBSA
0453b96473	PBSA
beabdba2bc	PBSA
2498458e18	PBSA
221b6cac8f	PBSA
93754219db	PBSA
17312d651c	PBSA
dfb30fd4ad	PBSA
f90323675b	PBSA
99354c60bf	PBSA
ad5b42fab0	PBSA
ab6e5c1f00	PBSA
af57037644	PBSA
7ba24cafdd	PBSA
05565453b0	PBSA-Blend
e52f1279b1	PBSeT
2e608bfeb7	PBSeT
15cc1f1472	PCL
bcd0a9b65e	PCL
316504c5b7	PCL
7015dc5bc0	PCL
234224de9f	PCL
7aacc4ee64	PCL
f54a2b0583	PCL
2373942cb2	PCL
1fbae30cf9	PCL
54e04d87af	PCL
ca3ac9ae73	PCL
871cad2901	PCL
269a76723c	PCL
6a5b071591	PCL
e779bc31c8	PCL
f2df7ee094	PCL
9b722074a4	PCL
72fdf604cf	PCL
70c2496741	PCL
de82edd1f6	PCL
2bb796edc7	PCL
97886f5303	PCL
39b4a9b622	PCL
5aea9b8817	PCL
eb332dd621	PCL
f917b1fb00	PCL
71fac0ab7b	PCL
b4f712dc24	PCL
543551c902	PCL
7b722bc6e2	PCL
d90d7817f3	PCL
ac44a6e200	PCL
4711279e33	PCL
4a084329bf	PCL
82360cb7ef	PCL
144b809ec4	PCL
3c65348332	PCL
8f04038be9	PCL
06cfc0d4ca	PCL
585aacdac2	PCL
10d2b9d143	PCL
1c7427093c	PCL
d7fb426c06	PCL
01681a8b2b	PCL
b565e936ed	PCL
c04a68922c	PCL
1926d84034	PCL
4c174f8fbe	PCL
cde4667976	PCL
1c673dc78a	PCL
5327420c54	PCL
ce6e646c5f	PCL
0b659ae70d	PCL
dcee2423c7	PCL
7aebbf0ca7	PCL
6972995cc1	PCL
98b7748823	PE
60ea077c8e	PE
bb22e38599	PE
d882bce9ca	PE
e4c1237e19	PE
e42c5fc33c	PE
694fbcd320	PE
5e679483ec	PE
dc8d74d426	PE
9e7a86b52b	PE
9f93bdc9ec	PE
4d0f30527a	PE
e6ee3e078f	PE
4192ccdc09	PE
27e96814fc	PE
680834dc7d	PE
612d47e2c8	PE
3f57b48823	PE
60a7892ac8	PE
2eff1349ac	PE
f471b7d621	PE
2b25837d2b	PE
66b572efa8	PE
29078506c4	PE
8cc923f3d0	PE
1315f7c6ce	PE
01945368cf	PE
fc37015d19	PE
80eb8252ff	PE
312d4bf92e	PE
